,Location,MinTemp,MaxTemp,Rainfall,Evaporation,Sunshine,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Cloud9am,Cloud3pm,Temp9am,Temp3pm,RainToday,RainTomorrow,month,day,year
80002,Watsonia,5.9,24.9,0.2,3.8,11.2,N,52.0,N,N,13.0,30.0,47.0,35.0,1015.7,1012.2,2.0,1.0,19.5,24.1,No,No,10,5,2014
80003,Watsonia,13.3,18.8,0.0,8.2,9.1,W,31.0,W,S,9.0,13.0,71.0,49.0,1017.0,1016.2,7.0,2.0,14.1,17.8,No,No,10,6,2014
80005,Watsonia,9.8,17.8,2.0,4.0,6.2,W,59.0,W,SW,17.0,22.0,82.0,60.0,1012.0,1013.8,6.0,7.0,11.8,14.1,Yes,No,10,1,2014
80006,Watsonia,6.6,17.5,0.4,4.4,4.9,W,28.0,NW,S,13.0,9.0,72.0,55.0,1020.8,1020.2,1.0,7.0,12.3,17.0,No,No,10,2,2014
80007,Watsonia,7.5,22.6,0.8,3.2,9.5,N,31.0,ENE,N,4.0,13.0,99.0,40.0,1023.0,1018.2,5.0,7.0,11.5,22.0,No,No,10,3,2014
80008,Watsonia,10.1,23.9,0.2,5.8,3.9,N,35.0,ENE,N,9.0,13.0,61.0,45.0,1014.9,1012.8,7.0,7.0,16.5,20.5,No,No,10,4,2014
80009,Watsonia,13.0,22.0,0.0,6.2,7.5,WSW,26.0,WSW,SSE,9.0,9.0,84.0,53.0,1016.2,1014.0,7.0,6.0,14.6,21.3,No,No,10,5,2014
80010,Watsonia,7.3,30.3,0.0,4.8,11.6,N,44.0,NE,N,7.0,20.0,94.0,31.0,1010.6,1005.0,1.0,1.0,12.3,29.8,No,Yes,10,6,2014
80011,Watsonia,9.0,15.3,2.4,8.0,5.2,SSW,61.0,WSW,SSW,20.0,24.0,73.0,49.0,1012.0,1012.7,7.0,7.0,10.4,13.4,Yes,Yes,10,0,2014
80012,Watsonia,7.4,15.9,6.0,5.0,9.5,S,50.0,SE,S,13.0,24.0,74.0,47.0,1021.5,1021.8,7.0,6.0,11.6,13.5,Yes,No,10,1,2014
80014,Watsonia,8.7,15.6,0.0,3.6,3.9,SSW,39.0,W,SSW,13.0,20.0,71.0,59.0,1019.3,1019.9,7.0,7.0,12.8,14.5,No,Yes,10,3,2014
80015,Watsonia,6.4,18.0,3.2,2.4,11.3,SSW,30.0,ENE,SW,9.0,15.0,67.0,51.0,1027.1,1025.7,4.0,1.0,11.7,17.2,Yes,No,10,4,2014
80016,Watsonia,5.3,24.7,0.0,5.0,7.3,N,31.0,NE,N,7.0,17.0,72.0,35.0,1026.6,1023.1,1.0,7.0,13.7,22.6,No,No,10,5,2014
80017,Watsonia,13.7,28.8,0.0,11.4,2.7,N,50.0,NNE,N,17.0,20.0,29.0,26.0,1021.9,1019.1,7.0,7.0,23.4,28.1,No,No,10,6,2014
80018,Watsonia,8.9,20.6,0.0,6.4,12.8,SE,35.0,SSE,S,15.0,17.0,56.0,39.0,1030.2,1027.0,1.0,1.0,12.1,19.9,No,No,10,0,2014
80019,Watsonia,5.1,28.2,0.0,10.2,11.9,ENE,26.0,ENE,NNE,11.0,7.0,77.0,32.0,1027.6,1023.4,1.0,3.0,12.1,26.8,No,No,10,1,2014
80020,Watsonia,12.1,32.5,0.0,10.4,10.4,NNW,35.0,ENE,N,7.0,9.0,56.0,28.0,1019.7,1015.6,3.0,5.0,21.5,31.5,No,No,10,2,2014
80021,Watsonia,14.3,21.9,0.0,10.0,3.3,SW,24.0,SSW,SSW,7.0,13.0,100.0,71.0,1020.4,1016.6,8.0,8.0,14.7,20.7,No,No,10,3,2014
80022,Watsonia,14.5,31.2,0.0,2.0,9.2,NW,37.0,NE,SW,6.0,9.0,96.0,39.0,1012.2,1009.8,5.0,4.0,16.8,29.7,No,No,10,4,2014
80023,Watsonia,13.2,20.9,0.0,7.4,5.6,SSW,31.0,S,SW,7.0,13.0,86.0,59.0,1017.5,1014.6,8.0,5.0,15.0,19.0,No,No,10,5,2014
80024,Watsonia,12.5,24.4,0.0,4.8,7.2,NE,50.0,SSW,ESE,6.0,7.0,78.0,43.0,1014.6,1012.0,8.0,7.0,14.0,21.6,No,Yes,10,6,2014
80025,Watsonia,12.8,19.3,14.2,9.4,7.7,SW,74.0,W,WSW,17.0,33.0,100.0,55.0,1004.8,1008.2,7.0,5.0,12.8,15.9,Yes,Yes,10,0,2014
80026,Watsonia,9.8,19.6,3.0,6.6,7.4,W,50.0,NW,W,17.0,26.0,61.0,48.0,1011.5,1012.9,7.0,7.0,13.6,17.6,Yes,No,10,1,2014
80027,Watsonia,8.9,23.6,0.8,4.4,8.3,SSW,44.0,W,W,7.0,11.0,73.0,43.0,1019.1,1015.3,7.0,2.0,13.2,21.4,No,No,10,2,2014
80028,Watsonia,11.7,22.3,0.0,4.0,10.2,WSW,31.0,SW,SSW,4.0,17.0,73.0,46.0,1015.9,1012.5,7.0,2.0,14.4,21.7,No,No,10,3,2014
80029,Watsonia,7.5,32.3,0.0,6.4,8.8,SW,57.0,ENE,N,9.0,24.0,86.0,21.0,1009.6,1002.8,7.0,4.0,13.5,30.1,No,Yes,10,4,2014
80031,Watsonia,7.6,17.2,0.2,5.6,6.3,SSW,43.0,WSW,S,20.0,17.0,65.0,51.0,1021.0,1023.3,7.0,7.0,11.3,15.8,No,No,11,6,2014
80032,Watsonia,8.6,24.8,0.0,4.0,10.3,E,22.0,ESE,W,6.0,7.0,63.0,28.0,1025.9,1021.1,4.0,7.0,12.9,22.2,No,No,11,0,2014
80033,Watsonia,10.0,29.3,0.0,6.4,8.2,SW,56.0,NE,NNE,7.0,24.0,40.0,19.0,1016.9,1012.1,2.0,6.0,21.6,28.4,No,No,11,1,2014
80034,Watsonia,12.1,18.2,0.0,10.8,9.8,SSW,43.0,SW,S,20.0,17.0,70.0,45.0,1018.8,1018.3,6.0,2.0,13.6,17.4,No,No,11,2,2014
80035,Watsonia,9.5,23.5,0.0,6.2,10.9,SSW,31.0,WSW,N,6.0,7.0,67.0,29.0,1018.1,1014.3,5.0,7.0,12.1,22.4,No,No,11,3,2014
80036,Watsonia,8.6,32.5,0.0,6.0,11.6,N,33.0,ENE,NNE,11.0,11.0,57.0,23.0,1017.2,1015.4,7.0,5.0,18.7,30.9,No,No,11,4,2014
80037,Watsonia,15.0,35.7,0.0,14.4,10.6,SSW,56.0,NE,N,15.0,20.0,24.0,13.0,1014.9,1011.7,6.0,7.0,27.2,33.7,No,No,11,5,2014
80038,Watsonia,11.2,21.5,0.6,14.0,13.2,SSW,43.0,SSW,WSW,15.0,22.0,67.0,47.0,1022.3,1020.8,7.0,1.0,15.4,20.0,No,No,11,6,2014
80039,Watsonia,10.6,21.2,0.0,8.2,9.5,SSW,43.0,WSW,S,11.0,15.0,64.0,48.0,1023.0,1021.9,5.0,3.0,14.4,20.1,No,No,11,0,2014
80040,Watsonia,9.5,20.0,0.0,7.6,11.2,SSW,35.0,S,SSE,17.0,13.0,55.0,41.0,1024.2,1021.1,7.0,1.0,14.0,19.3,No,No,11,1,2014
80041,Watsonia,5.6,28.3,0.0,5.2,12.7,SSW,31.0,WSW,WNW,6.0,7.0,69.0,24.0,1018.6,1013.8,1.0,3.0,13.1,27.6,No,No,11,2,2014
80042,Watsonia,10.8,34.1,0.0,5.8,9.8,N,28.0,E,ESE,7.0,9.0,75.0,20.0,1014.7,1009.5,4.0,7.0,17.9,31.7,No,No,11,3,2014
80043,Watsonia,17.8,20.7,0.0,12.4,1.3,SSW,56.0,SSW,SSE,22.0,13.0,57.0,61.0,1010.2,1013.7,6.0,7.0,19.5,17.3,No,No,11,4,2014
80044,Watsonia,10.8,19.0,0.0,5.6,1.9,ENE,28.0,SSE,S,9.0,13.0,61.0,48.0,1013.8,1010.3,7.0,7.0,13.2,17.4,No,Yes,11,5,2014
80045,Watsonia,9.9,18.8,39.4,5.8,6.8,SSW,46.0,SSW,SSW,7.0,17.0,100.0,66.0,1009.0,1009.8,7.0,7.0,11.0,16.8,Yes,No,11,6,2014
80046,Watsonia,10.9,20.8,0.6,4.0,9.2,WSW,46.0,WSW,SW,15.0,13.0,84.0,41.0,1015.4,1015.2,7.0,7.0,14.3,19.9,No,No,11,0,2014
80047,Watsonia,8.8,20.6,0.0,5.6,8.4,SSW,30.0,SW,SSW,11.0,15.0,68.0,46.0,1021.1,1020.2,7.0,5.0,13.3,19.4,No,No,11,1,2014
80048,Watsonia,8.0,29.1,0.0,6.0,12.9,NW,35.0,ENE,NNW,11.0,15.0,75.0,24.0,1019.8,1013.9,1.0,5.0,14.3,28.3,No,No,11,2,2014
80049,Watsonia,14.3,29.8,0.0,14.4,0.2,N,65.0,NNE,SW,19.0,13.0,22.0,37.0,1006.8,1005.2,8.0,8.0,26.7,26.9,No,Yes,11,3,2014
80050,Watsonia,16.1,24.3,1.4,5.0,10.6,SW,35.0,WSW,SW,17.0,9.0,71.0,40.0,1010.8,1010.8,7.0,1.0,16.7,22.5,Yes,No,11,4,2014
80051,Watsonia,10.5,31.0,0.0,6.8,4.6,N,52.0,E,N,6.0,19.0,84.0,29.0,1011.2,1007.9,7.0,7.0,15.4,28.5,No,No,11,5,2014
80052,Watsonia,15.4,27.2,0.4,8.0,8.3,SSW,33.0,WSW,S,6.0,17.0,73.0,43.0,1012.5,1009.8,3.0,6.0,19.1,26.1,No,No,11,6,2014
80053,Watsonia,13.1,21.0,0.2,7.8,0.4,WSW,48.0,SW,SW,15.0,20.0,74.0,99.0,1009.2,1005.9,7.0,7.0,18.2,18.9,No,Yes,11,0,2014
80054,Watsonia,9.6,22.0,9.4,2.6,12.5,W,37.0,W,SW,19.0,17.0,67.0,42.0,1018.5,1018.4,6.0,5.0,14.7,19.5,Yes,No,11,1,2014
80055,Watsonia,9.4,19.2,0.0,9.0,0.2,SSW,39.0,W,SW,7.0,11.0,65.0,55.0,1021.8,1021.4,7.0,7.0,14.4,17.9,No,No,11,2,2014
80056,Watsonia,12.2,20.9,0.0,3.4,11.2,S,35.0,SE,SSW,11.0,17.0,59.0,46.0,1025.8,1023.8,6.0,1.0,14.9,20.1,No,No,11,3,2014
80057,Watsonia,9.9,23.0,0.0,6.4,10.1,SW,35.0,ESE,SW,9.0,17.0,81.0,50.0,1024.3,1020.0,8.0,2.0,12.5,21.2,No,No,11,4,2014
