,Location,MinTemp,MaxTemp,Rainfall,Evaporation,Sunshine,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Cloud9am,Cloud3pm,Temp9am,Temp3pm,RainToday,RainTomorrow,month,day,year
6049,Cobar,17.9,35.2,0.0,12.0,12.3,SSW,48.0,ENE,SW,6.0,20.0,20.0,13.0,1006.3,1004.4,2.0,5.0,26.6,33.4,No,No,1,3,2009
6050,Cobar,18.4,28.9,0.0,14.8,13.0,S,37.0,SSE,SSE,19.0,19.0,30.0,8.0,1012.9,1012.1,1.0,1.0,20.3,27.0,No,No,1,4,2009
6052,Cobar,19.4,37.6,0.0,10.8,10.6,NNE,46.0,NNE,NNW,30.0,15.0,42.0,22.0,1012.3,1009.2,1.0,6.0,28.7,34.9,No,No,1,6,2009
6053,Cobar,21.9,38.4,0.0,11.4,12.2,WNW,31.0,WNW,WSW,6.0,6.0,37.0,22.0,1012.7,1009.1,1.0,5.0,29.1,35.6,No,No,1,0,2009
6054,Cobar,24.2,41.0,0.0,11.2,8.4,WNW,35.0,NW,WNW,17.0,13.0,19.0,15.0,1010.7,1007.4,1.0,6.0,33.6,37.6,No,No,1,1,2009
6055,Cobar,27.1,36.1,0.0,13.0,0.0,N,43.0,N,WNW,7.0,20.0,26.0,19.0,1007.7,1007.4,8.0,8.0,30.7,34.3,No,No,1,2,2009
6056,Cobar,23.3,34.0,0.0,9.8,12.6,SSW,41.0,S,SSE,17.0,19.0,33.0,15.0,1011.3,1009.9,3.0,1.0,25.0,31.5,No,No,1,3,2009
6057,Cobar,16.1,34.2,0.0,14.6,13.2,SE,37.0,SE,S,15.0,6.0,25.0,9.0,1013.3,1009.2,1.0,1.0,20.7,32.8,No,No,1,4,2009
6058,Cobar,19.0,35.5,0.0,12.0,12.3,ENE,48.0,ENE,WSW,30.0,9.0,46.0,28.0,1008.3,1004.0,1.0,5.0,23.4,33.3,No,No,1,5,2009
6059,Cobar,19.7,35.5,0.0,11.0,12.7,NE,41.0,NNE,WSW,15.0,17.0,61.0,14.0,1007.9,1005.8,1.0,5.0,24.0,33.6,No,No,1,6,2009
6060,Cobar,20.9,37.8,0.0,12.8,13.2,E,30.0,SE,ENE,11.0,7.0,27.0,9.0,1012.6,1010.1,0.0,1.0,29.8,36.4,No,No,1,0,2009
6061,Cobar,23.9,39.1,0.0,13.8,12.1,ENE,39.0,NE,N,24.0,9.0,40.0,15.0,1013.6,1010.4,0.0,2.0,29.1,37.0,No,No,1,1,2009
6062,Cobar,24.9,41.2,0.0,14.8,13.0,SSW,43.0,N,NNW,17.0,11.0,25.0,15.0,1012.9,1010.1,1.0,3.0,31.5,38.1,No,No,1,2,2009
6063,Cobar,25.2,40.5,0.0,16.4,10.3,SW,44.0,W,SW,13.0,22.0,24.0,15.0,1012.4,1009.0,4.0,6.0,31.4,37.8,No,No,1,3,2009
6064,Cobar,21.6,34.2,0.0,17.4,13.1,SW,44.0,S,S,17.0,19.0,19.0,8.0,1014.1,1012.3,0.0,0.0,25.0,32.2,No,No,1,4,2009
6065,Cobar,18.4,31.8,0.0,16.0,12.9,S,33.0,S,SW,17.0,15.0,25.0,5.0,1016.3,1013.8,0.0,1.0,19.9,30.3,No,No,1,5,2009
6066,Cobar,17.9,34.2,0.0,12.0,11.3,SE,61.0,NE,SE,22.0,17.0,46.0,19.0,1016.4,1013.5,1.0,2.0,21.6,32.2,No,No,1,6,2009
6067,Cobar,21.4,37.5,0.0,14.8,6.9,NNE,43.0,ENE,NNE,26.0,9.0,34.0,29.0,1013.1,1009.6,7.0,6.0,26.2,34.1,No,Yes,1,0,2009
6068,Cobar,23.3,39.4,4.8,12.0,10.9,W,59.0,N,NW,19.0,17.0,54.0,14.0,1011.1,1008.5,1.0,7.0,27.0,37.0,Yes,No,1,1,2009
6069,Cobar,25.4,33.5,0.0,13.6,3.7,N,46.0,NW,N,9.0,28.0,46.0,52.0,1012.0,1009.8,4.0,7.0,28.9,29.7,No,No,1,2,2009
6070,Cobar,21.8,30.7,0.0,8.0,5.9,WNW,56.0,N,N,24.0,19.0,71.0,63.0,1008.6,1006.2,7.0,7.0,24.4,27.3,No,Yes,1,3,2009
6071,Cobar,20.3,36.0,18.0,8.2,10.5,WSW,94.0,NNE,NW,13.0,7.0,89.0,50.0,1008.6,1006.7,7.0,4.0,24.7,33.4,Yes,Yes,1,4,2009
6072,Cobar,22.1,34.7,8.6,8.6,12.4,NNW,50.0,SSW,SW,11.0,15.0,46.0,23.0,1008.6,1008.3,2.0,6.0,28.1,33.2,Yes,No,1,5,2009
6073,Cobar,19.7,37.3,0.0,14.2,13.4,SSW,28.0,SE,ENE,13.0,6.0,19.0,10.0,1013.1,1011.8,1.0,1.0,26.4,35.0,No,No,1,6,2009
6074,Cobar,23.8,39.9,0.0,12.6,13.2,S,31.0,ENE,E,17.0,7.0,50.0,16.0,1014.6,1012.1,0.0,1.0,28.7,38.7,No,No,1,0,2009
6075,Cobar,27.0,38.7,0.0,14.2,13.0,ENE,46.0,ENE,ESE,24.0,7.0,45.0,22.0,1015.2,1012.6,1.0,3.0,29.0,36.4,No,No,1,1,2009
6076,Cobar,26.2,38.5,0.0,14.6,13.3,E,39.0,NNE,ENE,15.0,19.0,37.0,17.0,1014.4,1011.5,0.0,2.0,29.6,37.0,No,No,1,2,2009
6077,Cobar,25.0,39.5,0.0,14.6,13.6,ENE,52.0,NNE,NNE,19.0,20.0,31.0,14.0,1014.6,1011.2,0.0,1.0,29.9,38.4,No,No,1,3,2009
6078,Cobar,25.1,39.3,0.0,15.8,13.2,ESE,44.0,NNE,ESE,20.0,20.0,34.0,18.0,1013.8,1010.5,0.0,1.0,29.9,37.5,No,No,1,4,2009
6079,Cobar,25.2,38.5,0.0,16.2,13.1,ENE,44.0,NNE,NE,24.0,20.0,35.0,18.0,1015.2,1011.9,1.0,2.0,29.0,36.9,No,No,1,5,2009
6080,Cobar,24.8,40.8,0.0,13.4,11.3,SE,30.0,W,SSE,9.0,9.0,34.0,16.0,1012.9,1009.8,5.0,3.0,30.1,38.9,No,No,2,6,2009
6081,Cobar,27.6,40.3,0.0,14.4,10.9,S,57.0,NNE,NNE,17.0,9.0,32.0,20.0,1010.4,1007.1,5.0,2.0,32.0,38.5,No,No,2,0,2009
6082,Cobar,23.6,40.4,0.6,11.8,12.2,WSW,54.0,E,SSW,9.0,11.0,42.0,17.0,1008.4,1005.0,1.0,2.0,29.9,38.7,No,Yes,2,1,2009
6083,Cobar,24.1,41.4,1.6,12.6,12.3,ENE,39.0,NE,WSW,17.0,7.0,50.0,21.0,1007.0,1003.5,0.0,4.0,28.2,38.8,Yes,No,2,2,2009
6084,Cobar,27.2,43.4,0.0,14.2,12.6,NNW,37.0,N,N,15.0,7.0,33.0,14.0,1005.9,1003.3,1.0,3.0,32.6,43.0,No,No,2,3,2009
6085,Cobar,29.1,43.5,0.0,13.0,12.1,WNW,28.0,NNW,NNW,9.0,13.0,25.0,16.0,1007.5,1005.2,1.0,2.0,35.6,41.4,No,No,2,4,2009
6086,Cobar,28.9,41.4,0.0,15.6,12.7,NNE,41.0,NNE,ENE,20.0,19.0,22.0,14.0,1010.4,1008.3,1.0,0.0,32.1,40.0,No,No,2,5,2009
6087,Cobar,25.1,42.0,0.0,17.4,13.0,NNE,39.0,N,NNE,15.0,13.0,23.0,9.0,1009.9,1007.3,0.0,1.0,31.6,40.4,No,No,2,6,2009
6088,Cobar,25.4,36.6,0.0,15.2,10.3,SW,43.0,SSW,SSW,19.0,13.0,24.0,12.0,1008.6,1006.9,5.0,5.0,26.1,35.4,No,No,2,0,2009
6089,Cobar,19.3,28.1,0.0,16.0,7.4,SSW,46.0,S,SSW,19.0,24.0,26.0,14.0,1010.2,1008.8,7.0,4.0,19.6,24.9,No,No,2,1,2009
6090,Cobar,14.1,25.9,0.0,11.6,12.3,SW,44.0,SSW,S,22.0,24.0,38.0,19.0,1011.9,1010.1,0.0,0.0,14.8,24.1,No,No,2,2,2009
6091,Cobar,14.5,30.1,0.0,9.6,10.0,S,37.0,S,SE,9.0,13.0,44.0,25.0,1013.2,1010.0,6.0,6.0,17.4,28.4,No,No,2,3,2009
