,Date,Location,MinTemp,MaxTemp,Rainfall,Evaporation,Sunshine,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Cloud9am,Cloud3pm,Temp9am,Temp3pm,RainToday,Location_encoded,Target_encoded,month,day,year
2948,2017-03-26,Albury,15.6,30.3,0.2,8.0,7.5,SE,19.0,SE,SE,6.0,9.0,86.0,44.0,1015.5,1012.7,1.0,6.0,19.0,29.0,No,0.20481681555081935,0,3,6,2017
2949,2017-03-27,Albury,17.5,34.7,0.0,8.0,10.2,WSW,81.0,S,N,4.0,19.0,81.0,41.0,1013.0,1007.5,5.0,6.0,20.2,32.9,No,0.1993517511545076,1,3,0,2017
2950,2017-03-28,Albury,12.3,26.0,3.2,1.8,6.5,SW,30.0,SSW,SE,0.0,7.0,74.0,32.0,1014.3,1012.4,8.0,6.0,15.7,25.0,Yes,0.20686102207638657,0,3,1,2017
2951,2017-03-29,Albury,10.5,28.0,0.2,4.8,12.0,N,28.0,N,N,0.0,17.0,76.0,30.0,1012.5,1008.2,8.0,6.0,13.9,26.7,No,0.20481681555081935,0,3,2,2017
2952,2017-03-30,Albury,11.7,21.3,0.0,11.4,6.3,W,39.0,W,S,15.0,19.0,68.0,49.0,1011.8,1011.8,2.0,7.0,13.7,19.1,No,0.21257087282959397,0,3,3,2017
2953,2017-03-31,Albury,6.5,21.4,0.0,2.2,10.5,SSE,22.0,SSE,WSW,9.0,7.0,67.0,30.0,1020.0,1017.2,8.0,7.0,11.0,20.3,No,0.20481681555081935,0,3,4,2017
2954,2017-04-01,Albury,6.0,22.1,0.0,8.8,12.0,WSW,44.0,WSW,W,0.0,20.0,80.0,42.0,1020.3,1018.9,4.0,7.0,9.9,21.2,No,0.21257087282959397,0,4,5,2017
2955,2017-04-02,Albury,7.6,22.8,0.0,3.4,9.5,SE,28.0,SSE,SSE,15.0,9.0,54.0,39.0,1026.4,1023.7,7.0,4.0,15.9,22.2,No,0.20481681555081935,0,4,6,2017
2956,2017-04-03,Albury,12.1,23.9,0.0,2.8,7.8,SE,31.0,SE,SSW,19.0,11.0,54.0,31.0,1030.0,1026.6,6.0,2.0,16.1,23.7,No,0.20481681555081935,0,4,0,2017
2957,2017-04-04,Albury,8.6,23.9,0.0,2.2,11.2,SSE,19.0,SSE,ESE,7.0,11.0,65.0,33.0,1030.4,1026.4,0.0,4.0,15.6,22.7,No,0.1993517511545076,0,4,1,2017
2958,2017-04-05,Albury,9.1,24.2,0.0,3.2,13.2,SSE,19.0,NNW,S,0.0,7.0,63.0,34.0,1027.6,1022.5,8.0,0.0,15.0,23.1,No,0.19934638003267258,0,4,2,2017
2959,2017-04-06,Albury,9.3,24.8,0.0,2.2,2.6,E,17.0,E,ESE,4.0,7.0,64.0,31.0,1026.0,1022.5,7.0,6.0,15.8,23.7,No,0.21257087282959397,0,4,3,2017
2960,2017-04-07,Albury,8.7,25.4,0.0,5.4,2.3,N,26.0,SW,NNE,0.0,13.0,68.0,33.0,1027.8,1023.0,4.0,1.0,15.2,24.8,No,0.20686102207638657,0,4,4,2017
2961,2017-04-08,Albury,9.1,24.2,0.0,6.8,11.4,N,31.0,SSE,SSE,9.0,13.0,73.0,52.0,1023.9,1018.0,8.0,5.0,15.7,22.5,No,0.21257087282959397,1,4,5,2017
2962,2017-04-09,Albury,14.1,19.9,1.8,4.6,9.3,W,56.0,NNE,WSW,17.0,26.0,69.0,62.0,1009.3,1008.1,8.0,8.0,18.5,14.6,Yes,0.1993517511545076,1,4,6,2017
2963,2017-04-10,Albury,7.8,17.4,10.8,4.0,9.8,NW,39.0,W,SSE,19.0,11.0,89.0,72.0,1010.4,1011.7,4.0,1.0,11.1,16.6,Yes,0.21257087282959397,0,4,0,2017
2964,2017-04-11,Albury,5.9,21.3,0.2,5.4,8.9,ESE,28.0,SSE,SE,9.0,17.0,81.0,44.0,1021.7,1019.7,4.0,3.0,13.2,21.1,No,0.20481681555081935,0,4,1,2017
2965,2017-04-12,Albury,8.1,23.9,0.0,12.0,10.9,SE,22.0,SE,NE,9.0,4.0,64.0,40.0,1025.2,1021.7,7.0,8.0,16.1,23.8,No,0.19934638003267258,0,4,2,2017
2966,2017-04-13,Albury,8.4,24.1,0.0,3.6,9.2,WNW,20.0,SSE,NW,2.0,7.0,76.0,45.0,1024.9,1021.1,7.0,1.0,15.1,23.3,No,0.20686102207638657,0,4,3,2017
2967,2017-04-14,Albury,7.8,24.2,0.0,2.8,9.9,WNW,31.0,SE,W,0.0,19.0,76.0,33.0,1023.3,1019.5,1.0,4.0,15.2,23.9,No,0.20481681555081935,0,4,4,2017
2968,2017-04-15,Albury,5.7,21.2,0.0,2.0,12.4,WNW,33.0,E,W,2.0,9.0,77.0,44.0,1021.7,1018.7,0.0,5.0,13.3,20.7,No,0.20481681555081935,0,4,5,2017
